# Para traducir los marcadores <FUL:ENDO> de los textos del juego.
# clave = el apellido en romaji en mayusculas, que es lo que
# el marcador lleva dentro. Lo genera
# herramientas/construir_marcadores.py (NOTAS O-98).
clave,tipo,completo,nombre,apellido
UKITAKUNIHARU,persona,Mike Roscopy,,
ULPA,persona,Helio,Helio,Helio
ULRICH,persona,ULRICH,,
ULU,persona,ELL,,
ULURU,persona,Jeku,,
ULURU APA,persona,Jeku Hydia,,
ULURUAPA,persona,Jeku Hydia,,
ULVIDA,persona,,,
UM-BZ,persona,UM-BZ,,
UM-BZ9,persona,UM-BZ9,,
UMAJI,persona,,,
UMAJI AOKI,persona,Genghis Cohen,,
UMAJIAOKI,persona,Genghis Cohen,,
UMAMI,persona,,,
UMAMI OSAMU,persona,Paul Steed,,
UMAMIOSAMU,persona,Paul Steed,,
UMANORI,persona,COLT,,
UMANORI RODEO,persona,Bucky Colt,,
UMANORIRODEO,persona,Bucky Colt,,
UMATSUGE,persona,MASS,,
UMATSUGE TSUKI,persona,Cara Mass,,
UMATSUGETSUKI,persona,Cara Mass,,
UME-CHAN,persona,Keep,,
UMEDA,persona,PINKPETAL,,
UMEDA HARUMI,persona,Rose Pinkpetal,,
UMEDAHARUMI,persona,Rose Pinkpetal,,
UMEMIYA,persona,BUBLE,,
UMEMIYA CHAKO,persona,Elizabeth Buble,,
UMEMIYACHAKO,persona,Elizabeth Buble,,
UMEO,persona,,,
UMEO SUZUTO,persona,Matt Durer,,
UMEOSUZUTO,persona,Matt Durer,,
UMESAKA,persona,,,
UMESAKA DAICHI,persona,Paxton Plumfield,,
UMESAKADAICHI,persona,Paxton Plumfield,,
UMEYO,persona,Ryehart,Ryehart,Ryehart
UMEZAKI,persona,VINALL,,
UMEZAKI KENTA,persona,Skip Vinall,,
UMEZAKIKENTA,persona,Skip Vinall,,
UMEZU,persona,,,
UMEZU YAMAKO,persona,Wilhelmina Goforth,,
UMEZUYAMAKO,persona,Wilhelmina Goforth,,
UMI,persona,Umi,,
UMIBOZU,persona,,,
UMIBOZU DE ODAIBA,persona,Umibozu de Odaiba,,
UMIBOZUDEODAIBA,persona,Umibozu de Odaiba,,
UMIBOZUS,persona,umibozus,,
UMIBOZUS ,persona,umibozus,,
UMIBUZO,persona,umibuzo,,
UMIGISHI,persona,,,
UMIGISHI ENTARO,persona,Barnabas Rossa,,
UMIGISHIENTARO,persona,Barnabas Rossa,,
UMIHARA,persona,Fischer,Fischer,Fischer
UMIHARA ABIRU,persona,Davy Johns,,
UMIHARA NORIKA,persona,Sandra Fischer,Sandra,Fischer
UMIHARAABIRU,persona,Davy Johns,,
UMIHARANORIKA,persona,Sandra Fischer,Sandra,Fischer
UMII,persona,umii,,
UMIII,persona,UMIII,,
UMIKAWA,persona,,,
UMIKAWA YOSHINORI,persona,Dan Cawarry,,
UMIKAWAYOSHINORI,persona,Dan Cawarry,,
UMIKKI,persona,YOLANDA,,
UMIMICHI,persona,,,
UMIMICHI TEIICHI,persona,Roy Plimsole,,
UMIMICHITEIICHI,persona,Roy Plimsole,,
UMIMOTO,persona,,,
UMIMOTO MIYUKI,persona,Kali Seaborn,,
UMIMOTOMIYUKI,persona,Kali Seaborn,,
UMINO,persona,,,
UMINO CHOJURO,persona,Moray Delmar,,
UMINOCHOJURO,persona,Moray Delmar,,
UMIR,persona,UMIR,,
UMISAKI,persona,,,
UMISAKI KIYOMI,persona,Sandy Beecher,,
UMISAKIKIYOMI,persona,Sandy Beecher,,
UMITSUKI,persona,ELLISON,,
UMITSUKI MIZUKI,persona,Jemima Ellison,,
UMITSUKIMIZUKI,persona,Jemima Ellison,,
UMIU,persona,Umral,,
UMIU SEASLUG,persona,Umral Seaslug,,
UMIUSEASLUG,persona,Umral Seaslug,,
UMIWATARI,persona,,,
UMIWATARI SOSUKE,persona,Sean Trawler,,
UMIWATARISOSUKE,persona,Sean Trawler,,
UNAGI,persona,,,
UNAKI,persona,O'RESIS,,
UNAKI YO,persona,Dave O'Resis,,
UNAKIYO,persona,Dave O'Resis,,
UNAMOTO,persona,MORAY,,
UNAMOTO GIICHI,persona,Ian Moray,,
UNAMOTOGIICHI,persona,Ian Moray,,
UNAR GIIL,persona,Unahr Giil,,
UNARGIIL,persona,Unahr Giil,,
UNI,persona,,,
UNI GEJIO,persona,Chrissy Urchin,,
UNIGEJIO,persona,Chrissy Urchin,,
UNMEI,persona,Billows,Billows,Billows
UNMEI & AYASHINO,persona,Destin y Lycus,,
UNMEI & JOSEPHINE,persona,Destin y Josefina,,
UNMEI & KAJI,persona,Destin y Brandt,,
UNMEI & KISOJI,persona,Destin y Cedric,,
UNMEI & SAKURAZAKI,persona,Destin y Briar,,
UNMEI&AYASHINO,persona,Destin y Lycus,,
UNMEI&JOSEPHINE,persona,Destin y Josefina,,
UNMEI&KAJI,persona,Destin y Brandt,,
UNMEI&KISOJI,persona,Destin y Cedric,,
UNMEI&SAKURAZAKI,persona,Destin y Briar,,
"UNMEI, SAKURAZAKI & KISOJI",persona,"Destin, Briar y Cedric",,
"UNMEI,SAKURAZAKI&KISOJI",persona,"Destin, Briar y Cedric",,
UNNO,persona,,,
UNNO HISATO,persona,Fry Vollity,,
UNNOHISATO,persona,Fry Vollity,,
UNO,persona,CLECTOR,,
UNO NOZOMI,persona,Barbara Clector,,
UNONOZOMI,persona,Barbara Clector,,
UNZEN,persona,,,
UNZEN TAKEMORI,persona,Stouton Savant,,
UNZENTAKEMORI,persona,Stouton Savant,,
UOBUKI,persona,BOUQUET,,
UOBUKI HANA,persona,Isodoura Bouquet,,
UOBUKIHANA,persona,Isodoura Bouquet,,
UOKATSU,persona,FISHER,,
UOKATSU HIMOO,persona,Pius Fisher,,
UOKATSUHIMOO,persona,Pius Fisher,,
UOSHIMA,persona,,,
UOSHIMA SAMEHARU,persona,Caesar Pike,,
UOSHIMASAMEHARU,persona,Caesar Pike,,
UOZUMI,persona,FISHMAN,,
UOZUMI TAKUTO,persona,Wilson Fishman,,
UOZUMITAKUTO,persona,Wilson Fishman,,
URA,persona,COVET,,
URA JOKI,persona,Lyle Covet,,
URABAN,persona,Molly,,
URABE,persona,Hartland,Hartland,Hartland
URABE NAMI,persona,Nerina Hartland,,
URABE RIKA,persona,Suzette Hartland,Suzette,Hartland
URABE TOMOHITO,persona,Horace Coop,,
URABENAMI,persona,Nerina Hartland,,
URABERIKA,persona,Suzette Hartland,Suzette,Hartland
URABETOMOHITO,persona,Horace Coop,,
URAIKE,persona,,,
URAIKE HISOKA,persona,Raz Pond,,
URAIKEHISOKA,persona,Raz Pond,,
URAJOKI,persona,Lyle Covet,,
URAKATA,persona,,,
URAKATA YOSHIHIKO,persona,Alec Dote,,
URAKATAYOSHIHIKO,persona,Alec Dote,,
URAKAWA,persona,,,
URAKAWA MUTSUMI,persona,Colette Brushmont,,
URAKAWAMUTSUMI,persona,Colette Brushmont,,
URANO,persona,,,
URANO BANKO,persona,Molly Gunn,,
URANO TENSHO,persona,Auberon Ouranos,,
URANOBANKO,persona,Molly Gunn,,
URANOTENSHO,persona,Auberon Ouranos,,
URASHIMA,persona,,,
URASHIMA MUGA,persona,Rip Winkle,,
URASHIMAMUGA,persona,Rip Winkle,,
URATA,persona,,,
URATA SATOSHI,persona,Pace Storey,,
URATASATOSHI,persona,Pace Storey,,
URICKY,persona,Regomen,Regomen,Regomen
URICKY REGOMEN,persona,Ricky Regomen,Ricky,Regomen
URICKYREGOMEN,persona,Ricky Regomen,Ricky,Regomen
URIYA,persona,HOPKINS,,
URIYA CHINA,persona,Tina Hopkins,,
URIYACHINA,persona,Tina Hopkins,,
URMI,persona,Urmia,Urmia,Urmia
URMI CHAPUP,persona,Tinkel Urmia,Tinkel,Urmia
URMICHAPUP,persona,Tinkel Urmia,Tinkel,Urmia
UROKO,persona,Kohara,,
URSO,persona,Nogueira,,
URSO NOGUEIRA,persona,Ulisses Nogueira,,
URSONOGUEIRA,persona,Ulisses Nogueira,,
URYU,persona,,,
URYU AKIRA,persona,Ike Banner,,
URYUAKIRA,persona,Ike Banner,,
US,persona,DB,,
USA,persona,,,
USA MITSUMI,persona,Sylvia Lagus,,
USAKA,persona,ACCHARIN,,
USAKA AKARI,persona,Sue Accharin,,
USAKAAKARI,persona,Sue Accharin,,
USAMI,persona,,,
USAMI MASAYA,persona,Gauge Diven,,
USAMIMASAYA,persona,Gauge Diven,,
USAMITSUMI,persona,Sylvia Lagus,,
USAWA,persona,TATTLESWELL,,
USAWA KOIKO,persona,Hildy Tattleswell,,
USAWAKOIKO,persona,Hildy Tattleswell,,
USHI,persona,Bullford,,
USHIDA,persona,Oxfield,Oxfield,Oxfield
USHIDA TAKEOMI,persona,Lorcan Oxfield,Lorcan,Oxfield
USHIDATAKEOMI,persona,Lorcan Oxfield,Lorcan,Oxfield
USHIHARA,persona,,,
USHIHARA SOSUKE,persona,Carl Nivor,,
USHIHARASOSUKE,persona,Carl Nivor,,
USHIJIMA,persona,Bullock,Bullock,Bullock
USHIJIMA IKURO,persona,Alexander Scrivener,,
USHIJIMA RIE,persona,Lara Creamer,,
USHIJIMA SEIJI,persona,Clay Moor,,
USHIJIMA TOTSUGORO,persona,Davin Bullock,Davin,Bullock
USHIJIMAIKURO,persona,Alexander Scrivener,,
USHIJIMARIE,persona,Lara Creamer,,
USHIJIMASEIJI,persona,Clay Moor,,
USHIJIMATOTSUGORO,persona,Davin Bullock,Davin,Bullock
USHIMADO,persona,,,
USHIMADO SOTA,persona,Derry Farmer,,
USHIMADOSOTA,persona,Derry Farmer,,
USHIO,persona,,,
USHIO KENJIRO,persona,Optimum Limbo,,
USHIO KUYA,persona,Chad Bullford,,
USHIOKENJIRO,persona,Optimum Limbo,,
USHIOKUYA,persona,Chad Bullford,,
USHIROMUKI,persona,Keir,,
USHITSURE,persona,,,
USHITSURE SARO,persona,Jackson Bover,,
USHITSURESARO,persona,Jackson Bover,,
USUBA,persona,ANTLION,,
USUBA KAGERO,persona,Larveo Antlion,,
USUBAKAGERO,persona,Larveo Antlion,,
USUDA,persona,,,
USUDA RYUTA,persona,Rhys Masher,,
USUDARYUTA,persona,Rhys Masher,,
USUHIKI,persona,GORMAN,,
USUHIKI JUBEE,persona,Chunk Gorman,,
USUHIKIJUBEE,persona,Chunk Gorman,,
USUI,persona,,,
USUI KANADE,persona,Flaurine Woodwind,,
USUI TANTO,persona,Noah Nymous,,
USUIKANADE,persona,Flaurine Woodwind,,
USUITANTO,persona,Noah Nymous,,
USUKE,persona,Artz,Artz,Artz
USUKI,persona,MYCOTA,,
USUKI YUKARI,persona,Fern Mycota,,
USUKIYUKARI,persona,Fern Mycota,,
UTA,persona,Kara,,
UTABA,persona,,,
UTABA SOTO,persona,Dustin Westend,,
UTABASOTO,persona,Dustin Westend,,
UTADA,persona,,,
UTADA SUMITO,persona,Alton Oldhat,,
UTADASUMITO,persona,Alton Oldhat,,
UTAGAWA,persona,,,
UTAGAWA MAKOTO,persona,Fayette Riversong,,
UTAGAWAMAKOTO,persona,Fayette Riversong,,
UTAGE,persona,,,
UTAGE KONOE,persona,Jubilee Meriday,,
UTAGEKONOE,persona,Jubilee Meriday,,
UTAKATA,persona,BALL,,
UTAKATA KYOSHIRO,persona,Christian Ball,,
UTAKATAKYOSHIRO,persona,Christian Ball,,
UTAYA,persona,,,
UTAYA KANKURO,persona,Liron Suesskind,,
UTAYAKANKURO,persona,Liron Suesskind,,
UTOBAH,persona,KHALIL,,
UTSUNOMIYA,persona,Hobbes,Hobbes,Hobbes
UTSUNOMIYA TORAMARU,persona,Austin Hobbes,Austin,Hobbes
UTSUNOMIYATORAMARU,persona,Austin Hobbes,Austin,Hobbes
UTSUROGI,persona,,,
UTSUROGI SANEMI,persona,Pen Teller,,
UTSUROGISANEMI,persona,Pen Teller,,
UUUUUMIIII,persona,UuuUuMiiii,,
UWA,persona,NIGHTWOOD,,
UWA TAEKO,persona,Iris Nightwood,,
UWATAEKO,persona,Iris Nightwood,,
UZMA,persona,Uzma,,
UZMA KYAKKO,persona,Uzma Kyallak,,
UZMAKYAKKO,persona,Uzma Kyallak,,
UZUKAMI,persona,RISTAIR,,
UZUKAMI UZUME,persona,Revea Ristair,,
UZUKAMIUZUME,persona,Revea Ristair,,
UZUKI,persona,,,
UZUKI HAJIME,persona,Dom Ittory,,
UZUKIHAJIME,persona,Dom Ittory,,
UZUME,persona,Uzume,,
V,persona,Rob,,
VAGNER,persona,MISTERIOSKI,,
VALHA,persona,Balkhash,,
VALHA POLOPO,persona,Plunk Balkhash,,
VALHAPOLOPO,persona,Plunk Balkhash,,
VAMP,persona,Drakul,Drakul,Drakul
VAN,persona,Tarel,,
VAN TAREL,persona,Van Tarel,,
VANPHENY,persona,Desmodus Drakul,Desmodus,Drakul
VANPHENY VAMP,persona,Desmodus Drakul,Desmodus,Drakul
VANPHENYVAMP,persona,Desmodus Drakul,Desmodus,Drakul
VANTAREL,persona,Van Tarel,,
VAYU,persona,VAYU,,
VECTOR,persona,Vernam,Vernam,Vernam
VECTOR CUNNINGHAM,persona,Vector Vernam,Vector,Vernam
VECTORCUNNINGHAM,persona,Vector Vernam,Vector,Vernam
VEND. TIENDA DE SMOOTHIES,persona,Vend. tienda de smoothies,,
VEND.TIENDADESMOOTHIES,persona,Vend. tienda de smoothies,,
VENDEDOR AMABLE,persona,Vendedor amable,,
VENDEDOR DE ZAPATILLAS,persona,Vendedor de zapatillas,,
VENDEDORA CUIDADOSA,persona,Vendedora cuidadosa,,
VENDEDORA DE CREPES,persona,Vendedora de crepes,,
VENDEDORA DE HELADO,persona,Vendedora de helado,,
VENDEDORA ENERGÉTICA,persona,Vendedora energética,,
VENDEDORACUIDADOSA,persona,Vendedora cuidadosa,,
VENDEDORADECREPES,persona,Vendedora de crepes,,
VENDEDORADEHELADO,persona,Vendedora de helado,,
VENDEDORAENERGÉTICA,persona,Vendedora energética,,
VENDEDORAMABLE,persona,Vendedor amable,,
VENDEDORDEZAPATILLAS,persona,Vendedor de zapatillas,,
VENETO,persona,,,
VENOM,persona,Venom,,
VENOM BLAG,persona,Venom Braggard,,
VENOMBLAG,persona,Venom Braggard,,
VENTO,persona,Galliano,,
VENTO GAGLIANO,persona,Vento Galliano,,
VENTOGAGLIANO,persona,Vento Galliano,,
VERDIO,persona,Smeraldo,,
VERDIO SMERALDO,persona,Beldio Smeraldo,,
VERDIOSMERALDO,persona,Beldio Smeraldo,,
VES,persona,Vesuvion Bubo,Vesuvion,Bubo
VES HORNE,persona,Vesuvion Bubo,Vesuvion,Bubo
VESHORNE,persona,Vesuvion Bubo,Vesuvion,Bubo
VESILIA,persona,Fortin,Fortin,Fortin
VIC,persona,Vic,,
VIC & WONDERBOT,persona,Vic y Wonderbot,,
VIC Y WONDERBOT,persona,Vic y Wonderbot,,
VIC&WONDERBOT,persona,Vic y Wonderbot,,
"VIC, WONDERBOT Y ZANARK",persona,"Vic, Wonderbot y Zanark",,
"VIC,WONDERBOTYZANARK",persona,"Vic, Wonderbot y Zanark",,
VICTOR,persona,Pianov,Pianov,Pianov
VICTOR SEDOWA,persona,Dmitri Pianov,Dmitri,Pianov
VICTORIO ARNO,persona,Victorio Cryptix,,
VICTORIOARNO,persona,Victorio Cryptix,,
VICTORSEDOWA,persona,Dmitri Pianov,Dmitri,Pianov
VICYWONDERBOT,persona,Vic y Wonderbot,,
VIEJO ASTILLERO,sitio,Viejo astillero,Viejo astillero,Viejo astillero
VIEJOASTILLERO,sitio,Viejo astillero,Viejo astillero,Viejo astillero
VIKE,persona,Vic,,
VIKINGS,persona,LONGBOAT,,
VINCI,persona,VYNCE,,
VIOLA,persona,,,
VIOLET,persona,DUBOIS,,
VIOLETTE,persona,Amatista,,
VIOLETTE AMETISTA,persona,Vittorio Amatista,,
VIOLETTEAMETISTA,persona,Vittorio Amatista,,
VIRGO,persona,Virgo,,
VLADIMIR,persona,,,
VOLZ,persona,VÖLZ,,
VORACIOUS,persona,Hamish,,
VYX,persona,Ticker,,
WADA,persona,,,
WADA YUJI,persona,Skip Docker,,
WADAYUJI,persona,Skip Docker,,
WAGANO,persona,,,
WAGANO KAKUMEI,persona,Des Pott,,
WAGANOKAKUMEI,persona,Des Pott,,
WAIDA,persona,MCCALLUM,,
WAIDA KEI,persona,Alan McCallum,,
WAIDAKEI,persona,Alan McCallum,,
WAIRU,persona,Yu,,
WAJI,persona,,,
WAJI KALELKAWA,persona,Warim Kalkawa,,
WAJIKALELKAWA,persona,Warim Kalkawa,,
WAJIMA,persona,STRINGER,,
WAJIMA TOSHINORI,persona,Al Stringer,,
WAJIMATOSHINORI,persona,Al Stringer,,
WAKABA,persona,Clears,,
WAKAI,persona,TEMPOLE,,
WAKAI TEPPEI,persona,Todd Tempole,,
WAKAITEPPEI,persona,Todd Tempole,,
WAKAIZUMI,persona,,,
WAKAIZUMI MASAKI,persona,Colt Youngstein,,
WAKAIZUMIMASAKI,persona,Colt Youngstein,,
WAKAKAGI,persona,TUSSEL,,
WAKAKAGI REINA,persona,Mirabel Tussel,,
WAKAKAGIREINA,persona,Mirabel Tussel,,
WAKAMADA,persona,CRYAN,,
WAKAMADA KARIN,persona,Precious Cryan,,
WAKAMADAKARIN,persona,Precious Cryan,,
WAKAME,persona,Caul,,
WAKASA,persona,Screen.,,
WAKASUGI,persona,,,
WAKASUGI YO,persona,Cole Easteroll,,
WAKASUGIYO,persona,Cole Easteroll,,
WAKATAKE,persona,,,
WAKATAKE SABUROKU,persona,Bam Buschutt,,
WAKATAKESABUROKU,persona,Bam Buschutt,,
WAKAYAMA,persona,,,
WAKAYAMA KEI,persona,Pip Skinner,,
WAKAYAMAKEI,persona,Pip Skinner,,
WAKENO,persona,,,
WAKENO SEIMA,persona,Odell Farley,,
WAKENOSEIMA,persona,Odell Farley,,
WAKERU,persona,,,
WAKERU KAGEHIRO,persona,Jack Balance,,
WAKERUKAGEHIRO,persona,Jack Balance,,
WAKI,persona,STODGELL,,
WAKI KEIICHIRO,persona,Grant Stodgell,,
WAKIKEIICHIRO,persona,Grant Stodgell,,
WAKKE KOSAGAN,persona,Wacke Koshra,,
WAKKEKOSAGAN,persona,Wacke Koshra,,
WAKOMI,persona,ERPA,,
WAKOMI IWAMO,persona,Caul Erpa,,
WAKOMIIWAMO,persona,Caul Erpa,,
WAKUI,persona,,,
WAKUI YUKO,persona,Lucille Strummon,,
WAKUIYUKO,persona,Lucille Strummon,,
WALDER,persona,,,
WALLY,persona,,,
WALTER,persona,,,
WALTER KOZLOWSKI,persona,Wolter Kruzsk,,
WALTER MOUNTAIN,persona,Walter Mountain,,
WALTERKOZLOWSKI,persona,Wolter Kruzsk,,
WALTERMOUNTAIN,persona,Walter Mountain,,
WAN-CHAN,persona,Factory,,
WANDA,persona,Nemo,Nemo,Nemo
WANDA NAOTO,persona,Dakkar Nemo,Dakkar,Nemo
WANDANAOTO,persona,Dakkar Nemo,Dakkar,Nemo
WANG,persona,,,
WANG MONMON,persona,Mengmeng Wang,,
WANG TANMIAO,persona,Jet Long,,
WANGMONMON,persona,Mengmeng Wang,,
WANGTANMIAO,persona,Jet Long,,
WANI,persona,,,
WANI ZENCHIKU,persona,Richard Trogg,,
WANIZENCHIKU,persona,Richard Trogg,,
WANTAN,persona,Jet,,
WARASHI,persona,,,
WARD,persona,,,
WARIMA,persona,LOVETLUKE,,
WARIMA MITERU,persona,Lisa Lovetluke,,
WARIMAMITERU,persona,Lisa Lovetluke,,
WARITO,persona,ANTE,,
WARITO KENSHIN,persona,Virgil Ante,,
WARITOKENSHIN,persona,Virgil Ante,,
WARUSAYA,persona,JERUS,,
WARUSAYA MUTSUO,persona,Duane Jerus,,
WARUSAYAMUTSUO,persona,Duane Jerus,,
WARWICK,persona,Warwick,,
WASHI,persona,Eagle,,
WATANABE,persona,,,
WATANABE AKIHIRO,persona,Daley Switcher,,
WATANABEAKIHIRO,persona,Daley Switcher,,
WATARI,persona,,,
WATARI KATSUAKI,persona,Vick Pointer,,
WATARIKATSUAKI,persona,Vick Pointer,,
WATARINUKI,persona,,,
WATARINUKI SHUJI,persona,Patton Fairway,,
WATARINUKISHUJI,persona,Patton Fairway,,
WATATSUMI,persona,,,
WATATSUMI EIKI,persona,Levi Atherton,,
WATATSUMIEIKI,persona,Levi Atherton,,
WATAYA,persona,,,
WATAYA SHINJI,persona,Ken Sewer,,
WATAYASHINJI,persona,Ken Sewer,,
WATER,persona,Water,,
WATERMAN,persona,WATERMAN ,,
WAYNE,persona,HULL,,
WEIGHT,persona,Luke,,
WEISS,persona,HUYSMANS,,
WHALE,persona,Whale,,
WHEEZE,persona,,,
WHIP,persona,Phil,,
WHITE,persona,OSCAR,,
WIDGET,persona,VIJET,,
WILL PUDDING,persona,Phil English,,
WILLPUDDING,persona,Phil English,,
WILLY,persona,AL-KUNDUR,,
WILSON,persona,WILSON,,
WINDY,persona,Vitesse,,
WINDY FASTA,persona,Zephyr Vitesse,,
WINDYFASTA,persona,Zephyr Vitesse,,
WITCH,persona,Esme,,
WOLF,persona,,,
WOLFGANG,persona,,,
WOMYANG,persona,Wang,,
WONDERBOT,persona,von Wunderbar,von Wunderbar,von Wunderbar
WONDERBOT Y ZANARK,persona,Wonderbot y Zanark,,
WONDERBOTYZANARK,persona,Wonderbot y Zanark,,
WOO,persona,HEDGEER,,
WOODGATE,persona,WOODGATE,,
WOODMARK,persona,WOODMARK,,
WOODS,persona,,,
WORG,persona,K'aran,K'aran,K'aran
WORLEY,persona,WARWICK,,
WORMY,persona,Mooram,,
WORMY MOAM,persona,Worren Mooram,,
WORMYMOAM,persona,Worren Mooram,,
WU,persona,CHEUNG,,
WU LONGCHI,persona,Bolo Cheung,,
WULFEIN,persona,Vulpeen,Vulpeen,Vulpeen
WULONG,persona,Bolo,,
WULONGCHI,persona,Bolo Cheung,,
WYNDHAS,persona,TENNYSON ,,
WYNEL,persona,,,
X,persona,Xanthe,,
XENO,persona,Xenon,,
XENO WOLF,persona,Xenon Reith,,
XENOWOLF,persona,Xenon Reith,,
XIAO,persona,Luo,Luo,Luo
XIAO LIU,persona,Michelle Luo,Michelle,Luo
XIAO LONGBAO,persona,Wilson Ip,,
XIAOLIU,persona,Michelle Luo,Michelle,Luo
XIAOLONGBAO,persona,Wilson Ip,,
XING,persona,Jackie Tan,Jackie,Tan
XUANWU,persona,Tortus,,
YABE,persona,YABE,,
YABE HANBEE,persona,Hanbee Yabe,,
YABEHANBEE,persona,Hanbee Yabe,,
YABUKI,persona,,,
YABUKI TAMEO,persona,Ralph Vance,,
YABUKITAMEO,persona,Ralph Vance,,
YACCO,persona,MYKO,,
YACHT,persona,Fog,,
YAE,persona,Lydia,,
YAEGASHI,persona,,,
YAEGASHI SATORU,persona,Alfonse Way,,
YAEGASHISATORU,persona,Alfonse Way,,
YAGAMI,persona,,,
YAGAMI REINA,persona,Isabelle Trick,,
YAGAMIREINA,persona,Isabelle Trick,,
YAGATA,persona,,,
YAGATA OSEI,persona,Len Stint,,
YAGATAOSEI,persona,Len Stint,,
YAGI,persona,TWINING,,
YAGI HISASHI,persona,Osier Twining,,
YAGIHARA,persona,Zimmerman,Zimmerman,Zimmerman
YAGIHARA KATSUMI,persona,Ari Zimmerman,Ari,Zimmerman
YAGIHARAKATSUMI,persona,Ari Zimmerman,Ari,Zimmerman
YAGIHISASHI,persona,Osier Twining,,
YAGIMURA,persona,KIDD,,
YAGIMURA AIGI,persona,Pan Kidd,,
YAGIMURAAIGI,persona,Pan Kidd,,
YAGISAKI,persona,CARROLL,,
YAGISAKI KAFU,persona,Octavia Carroll,,
YAGISAKIKAFU,persona,Octavia Carroll,,
YAGURA,persona,,,
YAGURA TAKAJIN,persona,Peake Fletcher,,
YAGURATAKAJIN,persona,Peake Fletcher,,
YAGYU,persona,Reyes,Reyes,Reyes
YAGYU JURO,persona,Sam Samurai,,
YAGYU MIYABI,persona,Lioran Reyes,Lioran,Reyes
YAGYU SURUGA,persona,Thierry Reyes,Thierry,Reyes
YAGYUJURO,persona,Sam Samurai,,
YAGYUMIYABI,persona,Lioran Reyes,Lioran,Reyes
YAGYUSURUGA,persona,Thierry Reyes,Thierry,Reyes
YAHATA,persona,CRAMER,,
YAHATA YUKAKO,persona,Mary Cramer,,
YAHATAYUKAKO,persona,Mary Cramer,,
YAITO,persona,Verse,,
YAJI,persona,,,
YAJI IKUO,persona,Alan Mode,,
YAJIIKUO,persona,Alan Mode,,
YAJIMA,persona,Judson,Judson,Judson
YAJIMA JINICHIRO,persona,Linton Judson,Linton,Judson
YAJIMAJINICHIRO,persona,Linton Judson,Linton,Judson
YAKATA,persona,,,
YAKATA NAOTO,persona,York Nashmith,,
YAKATANAOTO,persona,York Nashmith,,
YAKBANRAI,persona,YINKLEY,,
YAKKO,persona,Ori,,
YAKUHARA,persona,BONES,,
YAKUHARA MUKUTO,persona,Gregory Bones,,
YAKUHARAMUKUTO,persona,Gregory Bones,,
YAKUIN,persona,,,
YAKUIN KOYA,persona,Yarkin Cittey,,
YAKUINKOYA,persona,Yarkin Cittey,,
YAKUSHIJI,persona,,,
YAKUSHIJI KEN,persona,Madison Cabinet,,
YAKUSHIJIKEN,persona,Madison Cabinet,,
YAKUSHIMA,persona,,,
YAKUSHIMA HIDEKI,persona,Jon Driedon,,
YAKUSHIMAHIDEKI,persona,Jon Driedon,,
YAM,persona,Yuth,,
YAM ,persona,Yuth,,
YAM POAPAN,persona,Yuth Poonlarp,,
YAMABE,persona,STILLWATER,,
YAMABE MOROOMI,persona,Rundeep Stillwater,,
YAMABEMOROOMI,persona,Rundeep Stillwater,,
YAMABUSHI,persona,Rundeep,,
YAMADA,persona,,,
YAMADA DOICHI,persona,Neil Yetty,,
YAMADA HIDETO,persona,Doug Lapp,,
YAMADA TAICHI,persona,Joe Bloggs,,
YAMADADOICHI,persona,Neil Yetty,,
YAMADAHIDETO,persona,Doug Lapp,,
YAMADATAICHI,persona,Joe Bloggs,,
YAMAFUDA,persona,,,
YAMAFUDA HAJIME,persona,Decker Pile,,
YAMAFUDAHAJIME,persona,Decker Pile,,
YAMAGAMI,persona,,,
YAMAGAMI MOTOKI,persona,Bard Crooner,,
YAMAGAMIMOTOKI,persona,Bard Crooner,,
YAMAGATA,persona,,,
YAMAGATA NOBUHIRO,persona,Paddy Prunus,,
YAMAGATANOBUHIRO,persona,Paddy Prunus,,
YAMAGISHI,persona,SELLER,,
YAMAGISHI SERI,persona,Jonathan Seller,,
YAMAGISHISERI,persona,Jonathan Seller,,
YAMAGORI,persona,,,
YAMAGORI SAKUMI,persona,Kenneth Frostner,,
YAMAGORISAKUMI,persona,Kenneth Frostner,,
YAMAGUCHI,persona,,,
YAMAGUCHI HOKORA,persona,Innes Caving,,
YAMAGUCHIHOKORA,persona,Innes Caving,,
YAMAHIKO,persona,Mocking,,
YAMAKAORU,persona,,,
YAMAKAORU SODAI,persona,Richard Roake,,
YAMAKAORUSODAI,persona,Richard Roake,,
YAMAKI,persona,Reggie,,
YAMAME,persona,BROOKWOOD,,
YAMAME YUKIO,persona,Tristan Brookwood,,
YAMAMEYUKIO,persona,Tristan Brookwood,,
YAMAMICHI,persona,,,
YAMAMICHI HIROKI,persona,Rusty Spoakes,,
YAMAMICHIHIROKI,persona,Rusty Spoakes,,
YAMAMORI,persona,,,
YAMAMORI ITOYA,persona,Montoodle Wixley,,
YAMAMORIITOYA,persona,Montoodle Wixley,,
YAMAMOTO,persona,,,
YAMAMOTO KANTA,persona,Salvador Addin,,
YAMAMOTO TEPPEI,persona,Ian Fantile,,
YAMAMOTOKANTA,persona,Salvador Addin,,
YAMAMOTOTEPPEI,persona,Ian Fantile,,
YAMAMURA,persona,,,
YAMAMURA AKIRA,persona,Ray Whitehead,,
YAMAMURAAKIRA,persona,Ray Whitehead,,
